Word, Frequency, Percentage frequency
you,16,20.000000%
Every,12,15.000000%
I,3,3.750000%
watching,3,3.750000%
take,3,3.750000%
ll,3,3.750000%
be,3,3.750000%
break,2,2.500000%
move,2,2.500000%
make,2,2.500000%
step,2,2.500000%
say,1,1.250000%
night,1,1.250000%
see,1,1.250000%
single,1,1.250000%
smile,1,1.250000%
stake,1,1.250000%
stay,1,1.250000%
t,1,1.250000%
With,1,1.250000%
to,1,1.250000%
vow,1,1.250000%
Oh,1,1.250000%
word,1,1.250000%
My,1,1.250000%
poor,1,1.250000%
play,1,1.250000%
aches,1,1.250000%
me,1,1.250000%
You,1,1.250000%
heart,1,1.250000%
game,1,1.250000%
fake,1,1.250000%
every,1,1.250000%
day,1,1.250000%
claim,1,1.250000%
can,1,1.250000%
breath,1,1.250000%
bond,1,1.250000%
belong,1,1.250000%
